// Structure Synth Pov Ray Export. 

box |  0.037037 0 0 0 0 0.037037 0 0 0 0 0.037037 0 -4.30478e-08 -4.30478e-08 0.481481 1 | 0.293195,0.607843,0.523937


box |  0.037037 0 0 0 0 0.037037 0 0 0 0 0.037037 0 -4.30478e-08 -4.30478e-08 0.444444 1 | 0.992157,0.943911,0.509696


box |  0.037037 0 0 0 0 0.037037 0 0 0 0 0.037037 0 -4.30478e-08 -4.30478e-08 0.518519 1 | 0.00899654,0.764706,0.28609


box |  0.037037 0 0 0 0 0.037037 0 0 0 0 0.037037 0 0.074074 -4.30478e-08 0.481481 1 | 0.690196,0.0866128,0.19727


box |  0.037037 0 0 0 0 0.037037 0 0 0 0 0.037037 0 0.074074 -4.30478e-08 0.444444 1 | 0.705882,0.523183,0.556678


box |  0.037037 0 0 0 0 0.037037 0 0 0 0 0.037037 0 0.074074 -4.30478e-08 0.518519 1 | 0.85098,0.637401,0.797586


box |  0.037037 0 0 0 0 0.037037 0 0 0 0 0.037037 0 0.037037 -4.30478e-08 0.444444 1 | 0.459442,0.289366,0.501961


box |  0.037037 0 0 0 0 0.037037 0 0 0 0 0.037037 0 0.037037 -4.30478e-08 0.518519 1 | 0.453595,0.407843,0.8


box |  0.037037 0 0 0 0 0.037037 0 0 0 0 0.037037 0 -4.30478e-08 0.074074 0.481481 1 | 0.0506421,0.324155,0.34902


 box |  0.037037 0 0 0 0 0.037037 0 0 0 0 0.037037 0 -4.30478e-08 0.074074 0.444444 1 | 0.137332,0.745098,0.390568


 box |  0.037037 0 0 0 0 0.037037 0 0 0 0 0.037037 0 -4.30478e-08 0.074074 0.518519 1 | 0.639216,0.632197,0.621669


 box |  0.037037 0 0 0 0 0.037037 0 0 0 0 0.037037 0 0.074074 0.074074 0.481481 1 | 0.469239,0.74902,0.375978


 box |  0.037037 0 0 0 0 0.037037 0 0 0 0 0.037037 0 0.074074 0.074074 0.444444 1 | 0.572641,0.839216,0.697043


 box |  0.037037 0 0 0 0 0.037037 0 0 0 0 0.037037 0 0.074074 0.074074 0.518519 1 | 0.816049,0.831373,0.524906


 box |  0.037037 0 0 0 0 0.037037 0 0 0 0 0.037037 0 0.037037 0.074074 0.444444 1 | 0.482353,0.426614,0.285629


 box |  0.037037 0 0 0 0 0.037037 0 0 0 0 0.037037 0 0.037037 0.074074 0.518519 1 | 0.673587,0.620069,0.941176


